name,age,height,position,foot,current club,09/10 date,09/10 left,09/10 joined,09/10 mv,09/10 fee,10/11 date,10/11 left,10/11 joined,10/11 mv,10/11 fee,11/12 date,11/12 left,11/12 joined,11/12 mv,11/12 fee,12/13 date,12/13 left,12/13 joined,12/13 mv,12/13 fee,15/16 date,15/16 left,15/16 joined,15/16 mv,15/16 fee,17/18 date,17/18 left,17/18 joined,17/18 mv,17/18 fee,current league,01/02 date,01/02 left,01/02 joined,01/02 mv,01/02 fee,06/07 date,06/07 left,06/07 joined,06/07 mv,06/07 fee,14/15 date,14/15 left,14/15 joined,14/15 mv,14/15 fee,16/17 date,16/17 left,16/17 joined,16/17 mv,16/17 fee,03/04 date,03/04 left,03/04 joined,03/04 mv,03/04 fee,04/05 date,04/05 left,04/05 joined,04/05 mv,04/05 fee,05/06 date,05/06 left,05/06 joined,05/06 mv,05/06 fee,07/08 date,07/08 left,07/08 joined,07/08 mv,07/08 fee,08/09 date,08/09 left,08/09 joined,08/09 mv,08/09 fee,13/14 date,13/14 left,13/14 joined,13/14 mv,13/14 fee,19/20 date,19/20 left,19/20 joined,19/20 mv,19/20 fee,18/19 mv,18/19 date,18/19 left,18/19 joined,18/19 fee,02/03 date,02/03 left,02/03 joined,02/03 mv,02/03 fee,98/99 date,98/99 left,98/99 joined,98/99 mv,98/99 fee,99/00 date,99/00 left,99/00 joined,99/00 mv,99/00 fee,00/01 date,00/01 left,00/01 joined,00/01 mv,00/01 fee,97/98 date,97/98 left,97/98 joined,97/98 mv,97/98 fee
Bernardo Silva,25,173.0,Forward - Right Winger,left,Manchester City,"Jul 1, 2009",Benfica U15,Benfica U17,0,,,,,,,"Jul 1, 2011",Benfica U17,Benfica U19,0,,,,,,,,,,,,"Jul 1, 2017",Monaco,Man City,"40,00 mil. €",,Premier League,,,,,,,,,,,"Jan 20, 2015Jan 19, 2015Aug 7, 2014Jul 1, 2014",BenficaMonacoBenficaBenfica B,MonacoBenficaMonacoBenfica,"3,50 mil. €3,50 mil. €2,50 mil. €2,50 mil. €",,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2007",SL Benfica Yout,Benfica U15,0,,,,,,,"Jul 1, 2013",Benfica U19,Benfica B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riyad Mahrez,28,179.0,Forward - Right Winger,left,Manchester City,,,,,,"Jul 1, 2010",Quimper FC,Le Havre B,0,Free transfer,"Jul 1, 2011",Le Havre B,AC Le Havre,0,0,,,,,,,,,,,,,,,,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jan 11, 2014",AC Le Havre,Leicester,750 K €,500 K €,,,,,,"50,00 mil. €","Jul 10, 2018",Leicester,Man City,"67,80 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Jesus,22,175.0,Forward - Centre-Forward,right,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,,,,,,,,,,,"Jan 1, 2015",Palmeiras U17,Palmeiras,0,0,"Jan 1, 2017",Palmeiras,Man City,"16,00 mil. €","32,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio Agüero,31,173.0,Forward - Centre-Forward,right,Manchester City,,,,,,,,,,,"Jul 28, 2011",Atlético Madrid,Man City,"36,00 mil. €","40,00 mil. €",,,,,,,,,,,,,,,,Premier League,,,,,,"Jul 1, 2006",Independiente,Atlético Madrid,"5,00 mil. €","21,70 mil. €",,,,,,,,,,,,,,,,"Jul 1, 2004",Indep'te U20,Independiente,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisson,27,191.0,Goalkeeper,right,Liverpool FC,,,,,,,,,,,"Jan 1, 2012",Inter U20,Inter B,0,0,"Jan 1, 2013",Inter B,Internacional,150 K €,0,,,,,,,,,,,Premier League,,,,,,,,,,,,,,,,"Jul 6, 2016",Internacional,AS Roma,"7,00 mil. €","8,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,00 mil. €","Jul 19, 2018",AS Roma,Liverpool,"62,50 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,
Adrián,32,190.0,Goalkeeper,right,Liverpool FC,,,,,,,,,,,,,,,,"Jul 1, 2012",Betis B,Real Betis,0,0,,,,,,,,,,,Premier League,,,,,,"Jul 1, 2006",Betis U19,Betis B,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2013",Real Betis,West Ham,"2,00 mil. €",Free transfer,"Aug 5, 2019",West Ham,Liverpool,"3,50 mil. €",Free transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caoimhin Kelleher,20,188.0,Goalkeeper,,Liverpool FC,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Lonergan,35,193.0,Goalkeeper,left,Liverpool FC,,,,,,,,,,,"Jul 25, 2011",Preston NE,Leeds,700 K €,,"Jul 17, 2012",Leeds,Bolton,500 K €,,"Jul 1, 2015",Bolton,Fulham,500 K €,,"Aug 27, 2017",Wolves,Leeds,500 K €,,Premier League,,,,,,"Nov 30, 2006Nov 3, 2006",Swindon TownPreston NE,Preston NESwindon Town,300 K €300 K €,,,,,,,"Jul 1, 2016",Fulham,Wolves,500 K €,,,,,,,,,,,,"Nov 6, 2005Oct 6, 2005",WycombePreston NE,Preston NEWycombe,400 K €400 K €,,,,,,,,,,,,,,,,,"Aug 12, 2019Jul 1, 2019",Without ClubMiddlesbrough,LiverpoolWithout Club,250 K €250 K €,,250 K €250 K €350 K €,"Mar 29, 2019Feb 7, 2019Aug 2, 2018",RochdaleMiddlesbroughLeeds,MiddlesbroughRochdaleMiddlesbrough,,"Mar 17, 2003Feb 7, 2003Dec 27, 2002Dec 20, 2002Jul 1, 2002",BlackpoolPreston NEDarlingtonPreston NEPreston U18,Preston NEBlackpoolPreston NEDarlingtonPreston NE,0.0,,,,,,,,,,,,,,,,,,,,,
Virgil van Dijk,28,193.0,Defender - Centre-Back,right,Liverpool FC,,,,,,"Jul 1, 2010",Willem II/RKC-19,FC Groning. U21,0,Free transfer,"Jul 1, 2011",Gron./Cam. U21,FC Groningen,250 K €,0,,,,,,"Sep 1, 2015",Celtic,Southampton,"5,00 mil. €","15,70 mil. €","Jan 1, 2018",Southampton,Liverpool,"30,00 mil. €","84,65 mil. €",Premier League,,,,,,"Jul 1, 2006",Willem II Youth,Willem II U17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2008",Willem II U17,Willem II U19,0,0,"Jul 1, 2013",FC Groningen,Celtic,"3,00 mil. €","3,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Gomez,22,188.0,Defender - Centre-Back,right,Liverpool FC,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2015",Charlton,Liverpool,"2,50 mil. €","4,90 mil. €",,,,,,Premier League,,,,,,,,,,,"Jul 1, 2014",Charlton U18,Charlton,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
