name,age,height,position,foot,current club,09/10 date,09/10 left,09/10 joined,09/10 mv,09/10 fee,10/11 date,10/11 left,10/11 joined,10/11 mv,10/11 fee,11/12 date,11/12 left,11/12 joined,11/12 mv,11/12 fee,12/13 date,12/13 left,12/13 joined,12/13 mv,12/13 fee,15/16 date,15/16 left,15/16 joined,15/16 mv,15/16 fee,17/18 date,17/18 left,17/18 joined,17/18 mv,17/18 fee,current league,01/02 date,01/02 left,01/02 joined,01/02 mv,01/02 fee,06/07 date,06/07 left,06/07 joined,06/07 mv,06/07 fee,14/15 date,14/15 left,14/15 joined,14/15 mv,14/15 fee,16/17 date,16/17 left,16/17 joined,16/17 mv,16/17 fee,03/04 date,03/04 left,03/04 joined,03/04 mv,03/04 fee,04/05 date,04/05 left,04/05 joined,04/05 mv,04/05 fee,05/06 date,05/06 left,05/06 joined,05/06 mv,05/06 fee,07/08 date,07/08 left,07/08 joined,07/08 mv,07/08 fee,08/09 date,08/09 left,08/09 joined,08/09 mv,08/09 fee,13/14 date,13/14 left,13/14 joined,13/14 mv,13/14 fee,19/20 date,19/20 left,19/20 joined,19/20 mv,19/20 fee,18/19 mv,18/19 date,18/19 left,18/19 joined,18/19 fee,02/03 date,02/03 left,02/03 joined,02/03 mv,02/03 fee,98/99 date,98/99 left,98/99 joined,98/99 mv,98/99 fee,99/00 date,99/00 left,99/00 joined,99/00 mv,99/00 fee,00/01 date,00/01 left,00/01 joined,00/01 mv,00/01 fee,97/98 date,97/98 left,97/98 joined,97/98 mv,97/98 fee
Florian Lejeune,28,190.0,Defender - Centre-Back,right,Newcastle United,"Jul 1, 2009",RCO Agde,FC Istres,0,Free transfer,,,,,,"Jul 7, 2011",FC Istres,Villarreal,"1,00 mil. €","1,00 mil. €","Jan 10, 2013",Villarreal,Stade Brest 29,"1,00 mil. €",Loan,"Jun 30, 2016Aug 29, 2015Aug 28, 2015",GironaMan CityGirona,Man CityGironaMan City,800 K €800 K €800 K €,End of loanLoan300 K €,"Jul 4, 2017",SD Eibar,Newcastle,"5,00 mil. €","10,00 mil. €",Premier League,,,,,,,,,,,"Jul 15, 2014",Villarreal,Girona,0,Free transfer,"Jul 1, 2016",Man City,SD Eibar,800 K €,"1,50 mil. €",,,,,,,,,,,,,,,,,,,,,"Jul 1, 2008",Sète U19,RCO Agde,0,Free transfer,"Jun 30, 2014",Stade Brest 29,Villarreal,500 K €,End of loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Fernández,30,190.0,Defender - Centre-Back,right,Newcastle United,,,,,,,,,,,"Jul 1, 2011",Estudiantes,SSC Napoli,"2,50 mil. €","3,30 mil. €","Jun 30, 2013Jan 30, 2013",GetafeSSC Napoli,SSC NapoliGetafe,"3,00 mil. €3,00 mil. €",End of loanLoan,,,,,,,,,,,Premier League,,,,,,,,,,,"Aug 20, 2014",SSC Napoli,Swansea,"5,00 mil. €","10,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2008",Estudiantes II,Estudiantes,0,0,,,,,,,,,,,"8,00 mil. €","Aug 9, 2018",Swansea,Newcastle,"6,70 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,
Ciaran Clark,30,188.0,Defender - Centre-Back,left,Newcastle United,,,,,,"Jul 1, 2010",Aston Villa U23,Aston Villa,100 K €,0,,,,,,,,,,,,,,,,,,,,,Premier League,,,,,,,,,,,,,,,,"Aug 3, 2016",Aston Villa,Newcastle,"4,50 mil. €","6,00 mil. €",,,,,,,,,,,,,,,,"Jul 1, 2007",Aston Villa U18,Aston Villa U23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Dummett,28,183.0,Defender - Left-Back,left,Newcastle United,,,,,,"Jul 1, 2010",Newcastle U18,Newcastle U23,,,"May 1, 2012Mar 1, 2012",Gateshead FCNewcastle U23,Newcastle U23Gateshead FC,,,"May 31, 2013Jan 31, 2013Jan 4, 2013Aug 31, 2012Jul 1, 2012",St. MirrenNewcastleSt. MirrenNewcastleNewcastle U23,NewcastleSt. MirrenNewcastleSt. MirrenNewcastle,,,,,,,,,,,,,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jetro Willems,25,169.0,Defender - Left-Back,left,Newcastle United,,,,,,"Jan 1, 2011Jul 1, 2010",Sparta U19Sparta R. U17,Sparta R.Sparta U19,0,0,"Aug 31, 2011",Sparta R.,PSV Eindhoven,300 K €,800 K €,,,,,,,,,,,"Jul 21, 2017",PSV Eindhoven,E. Frankfurt,"7,50 mil. €","4,50 mil. €",Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aug 2, 2019",E. Frankfurt,Newcastle,"5,00 mil. €","Loan fee:1,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre Yedlin,26,173.0,Defender - Right-Back,right,Newcastle United,,,,,,"Aug 1, 2010",Crossfire,Seattle Academy,0,,"Aug 1, 2011",Seattle Academy,Akron Zips,0,,"Jan 11, 2013Aug 1, 2012May 1, 2012",Akron ZipsSounders U23Akron Zips,Sounders FCAkron ZipsSounders U23,0,,"May 31, 2016Sep 1, 2015",SunderlandSpurs,SpursSunderland,"1,50 mil. €1,50 mil. €",,,,,,,Premier League,,,,,,,,,,,"Jan 3, 2015Aug 14, 2014Aug 13, 2014",Sounders FCSpursSounders FC,SpursSounders FCSpurs,250 K €250 K €250 K €,,"Aug 24, 2016",Spurs,Newcastle,"3,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emil Krafth,25,184.0,Defender - Right-Back,right,Newcastle United,"Jan 1, 2010",Unknown,Östers IF U19,0,Free transfer,"Jan 1, 2011",Östers IF U19,Östers IF,0,0,"Jan 1, 2012",Östers IF,Helsingborg,225 K €,?,,,,,,"Aug 21, 2015",Helsingborg,Bologna,900 K €,500 K €,,,,,,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aug 8, 2019Jul 1, 2019",SC AmiensBologna,NewcastleSC Amiens,"2,50 mil. €2,50 mil. €","5,40 mil. €2,00 mil. €","2,50 mil. €1,50 mil. €","Jun 30, 2019Aug 7, 2018",SC AmiensBologna,BolognaSC Amiens,End of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,
Javier Manquillo,25,178.0,Defender - Right-Back,right,Newcastle United,,,,,,,,,,,"Jan 1, 2012",Atl. Madrid U19,Atl. Madrid B,0,0,,,,,,"Jun 30, 2016Jul 24, 2015Jul 9, 2015",MarseilleAtlético MadridLiverpool,Atlético MadridMarseilleAtlético Madrid,"5,00 mil. €6,00 mil. €6,00 mil. €",End of loanLoanEnd of loan,"Jul 21, 2017",Atlético Madrid,Newcastle,"4,00 mil. €","5,00 mil. €",Premier League,,,,,,,,,,,"Aug 6, 2014",Atlético Madrid,Liverpool,"6,00 mil. €","Loan fee:2,00 mil. €","Jun 30, 2017Aug 25, 2016",SunderlandAtlético Madrid,Atlético MadridSunderland,"4,00 mil. €5,00 mil. €",End of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2013",Atl. Madrid B,Atlético Madrid,"2,00 mil. €",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Sterry,23,180.0,Defender - Right-Back,right,Newcastle United,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2015",Newcastle U23,Newcastle,,0,"May 31, 2018Jan 31, 2018",Crewe AlexandraNewcastle,NewcastleCrewe Alexandra,,End of loanLoan,Premier League,,,,,,,,,,,,,,,,"Jan 3, 2017Aug 31, 2016",CoventryNewcastle,NewcastleCoventry,,End of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2013",Newcastle U18,Newcastle U23,,0,,,,,,,"Mar 13, 2019Jan 26, 2019",Crewe AlexandraNewcastle,NewcastleCrewe Alexandra,End of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Hayden,24,186.0,Midfielder - Defensive Midfield,right,Newcastle United,,,,,,,,,,,,,,,,,,,,,"May 31, 2016Jul 31, 2015",Hull CityArsenal U21,Arsenal U21Hull City,,End of loanLoan,,,,,,Premier League,,,,,,,,,,,,,,,,"Jul 11, 2016",Arsenal U23,Newcastle,,"2,90 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2013",Arsenal U18,Arsenal U21,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sung-yong Ki,30,190.0,Midfielder - Defensive Midfield,right,Newcastle United,"Jan 1, 2010",FC Seoul,Celtic,"3,00 mil. €","2,40 mil. €",,,,,,,,,,,"Aug 24, 2012",Celtic,Swansea,"3,50 mil. €","7,00 mil. €",,,,,,,,,,,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jan 1, 2006",Gwangju Yth.,FC Seoul,0,Free transfer,,,,,,,,,,,"May 31, 2014Aug 31, 2013",SunderlandSwansea,SwanseaSunderland,"6,50 mil. €8,00 mil. €",End of loanLoan,,,,,,"7,00 mil. €","Jul 1, 2018",Swansea,Newcastle,Free transfer,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Colback,29,177.0,Midfielder - Defensive Midfield,left,Newcastle United,"Jun 1, 2010Aug 6, 2009Jul 1, 2009",IpswichSunderlandSunderland U21,SunderlandIpswichSunderland,,,"Jan 4, 2011Oct 15, 2010",IpswichSunderland,SunderlandIpswich,,,,,,,,,,,,,,,,,,"May 31, 2018Jan 31, 2018",Nottm ForestNewcastle,NewcastleNottm Forest,,,Premier League,,,,,,,,,,,"Jul 1, 2014",Sunderland,Newcastle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May 31, 2019Jul 20, 2018",Nottm ForestNewcastle,NewcastleNottm Forest,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Longstaff,21,181.0,Midfielder - Central Midfield,right,Newcastle United,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2015",Newcastle U18,Newcastle U23,,0,"May 31, 2018Jul 21, 2017",BlackpoolNewcastle U23,Newcastle U23Blackpool,,End of loanLoan,Premier League,,,,,,,,,,,,,,,,"May 31, 2017Jan 9, 2017",Kilmarnock FCNewcastle U23,Newcastle U23Kilmarnock FC,,End of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jan 1, 2019",Newcastle U23,Newcastle,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Jonjo Shelvey,27,184.0,Midfielder - Central Midfield,right,Newcastle United,,,,,,"Jul 1, 2010",Charlton,Liverpool,950 K €,"2,00 mil. €","Dec 1, 2011Sep 1, 2011",BlackpoolLiverpool,LiverpoolBlackpool,"2,00 mil. €2,00 mil. €",End of loanLoan,,,,,,"Jan 12, 2016",Swansea,Newcastle,"12,00 mil. €","16,00 mil. €",,,,,,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2008",Charlton U18,Charlton,0,0,"Jul 3, 2013",Liverpool,Swansea,"5,50 mil. €","5,80 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Ritchie,30,173.0,Midfielder - Right Midfield,left,Newcastle United,"May 15, 2010Feb 11, 2010Dec 31, 2009Sep 1, 2009",Swindon TownPortsmouthNotts CountyPortsmouth,PortsmouthSwindon TownPortsmouthNotts County,50 K €50 K €50 K €50 K €,,"Jan 7, 2011Jan 6, 2011Oct 4, 2010",PortsmouthSwindon TownPortsmouth,Swindon TownPortsmouthSwindon Town,50 K €50 K €50 K €,,,,,,,"Jan 30, 2013",Swindon Town,Bournemouth,200 K €,,,,,,,,,,,,Premier League,,,,,,,,,,,,,,,,"Jul 1, 2016",Bournemouth,Newcastle,"6,00 mil. €",,,,,,,,,,,,,,,,,,,,,,"May 1, 2009Sep 1, 2008Jul 1, 2008",Dag & Red FCPortsmouthPortsmouth U18,PortsmouthDag & Red FCPortsmouth,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miguel Almirón,25,174.0,Midfielder - Attacking Midfield,left,Newcastle United,,,,,,,,,,,"Jul 1, 2011",Club Cerro U20,Cerro Porteño,0,0,,,,,,"Aug 14, 2015",Cerro Porteño,Lanús,0,?,,,,,,Premier League,,,,,,,,,,,,,,,,"Jan 1, 2017",Lanús,Atlanta United,"5,50 mil. €","7,50 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,00 mil. €","Jan 31, 2019",Atlanta United,Newcastle,"24,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,
Henri Saivet,28,175.0,Midfielder - Attacking Midfield,right,Newcastle United,"Jul 1, 2009",G. Bordeaux B,G. Bordeaux,600 K €,0,"Jun 30, 2011Jan 10, 2011",SCO AngersG. Bordeaux,G. BordeauxSCO Angers,"1,00 mil. €850 K €",End of loanLoan,,,,,,,,,,,"Jan 11, 2016",G. Bordeaux,Newcastle,"2,50 mil. €","6,00 mil. €","Jun 30, 2018Jan 31, 2018",SivassporNewcastle,NewcastleSivasspor,"2,00 mil. €5,00 mil. €",End of loanLoan,Premier League,,,,,,,,,,,,,,,,"Jun 30, 2017Aug 24, 2016",Saint-ÉtienneNewcastle,NewcastleSaint-Étienne,"5,00 mil. €5,00 mil. €",End of loanLoan,,,,,,,,,,,,,,,,"Jul 1, 2007",Bordeaux U19,G. Bordeaux B,250 K €,0,,,,,,,,,,,,,,,,"1,00 mil. €2,00 mil. €","Jun 30, 2019Aug 16, 2018",BursasporNewcastle,NewcastleBursaspor,End of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Atsu,27,165.0,Forward - Left Winger,left,Newcastle United,"Jul 1, 2009",Fetteh Feyenoord,FC Porto U19,,,,,,,,"Jun 30, 2012Aug 15, 2011Jul 1, 2011",Rio Ave FCFC PortoFC Porto U19,FC PortoRio Ave FCFC Porto,,,,,,,,"Jun 30, 2016Jan 25, 2016Jan 4, 2016Jul 1, 2015",Málaga CFChelseaBournemouthChelsea,ChelseaMálaga CFChelseaBournemouth,,,"Jul 1, 2017",Chelsea,Newcastle,,,Premier League,,,,,,,,,,,"Jun 30, 2015Aug 13, 2014",EvertonChelsea,ChelseaEverton,,,"Jun 30, 2017Aug 31, 2016",NewcastleChelsea,ChelseaNewcastle,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jun 30, 2014Sep 1, 2013Aug 31, 2013",VitesseChelseaFC Porto,ChelseaVitesseChelsea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Saint-Maximin,22,173.0,Forward - Right Winger,right,Newcastle United,,,,,,,,,,,,,,,,,,,,,"Jun 30, 2016Jul 31, 2015Jul 30, 2015",Hannover 96MonacoSaint-Étienne,MonacoHannover 96Monaco,"2,00 mil. €1,00 mil. €1,00 mil. €","End of loanLoan5,00 mil. €","Aug 7, 2017",Monaco,OGC Nice,"3,00 mil. €","10,00 mil. €",Premier League,,,,,,,,,,,,,,,,"Jun 30, 2017Jul 29, 2016",SC BastiaMonaco,MonacoSC Bastia,"3,00 mil. €2,00 mil. €",End of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2013",St-Étienne U19,Saint-Étienne,0,0,"Aug 2, 2019",OGC Nice,Newcastle,"25,00 mil. €","18,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joelinton,23,186.0,Forward - Centre-Forward,right,Newcastle United,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2015",Sport Recife,TSG Hoffenheim,"1,25 mil. €","2,20 mil. €","Jun 30, 2018",Rapid Vienna,TSG Hoffenheim,"1,25 mil. €",End of loan,Premier League,,,,,,,,,,,"Jan 1, 2015",Recife U20,Sport Recife,0,0,"Jul 1, 2016",TSG Hoffenheim,Rapid Vienna,"1,25 mil. €",Loan fee:600 K €,,,,,,,,,,,,,,,,,,,,,,,,,,"Jan 1, 2014",Recife U17,Recife U20,0,0,"Jul 23, 2019",TSG Hoffenheim,Newcastle,"35,00 mil. €","44,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwight Gayle,29,177.0,Forward - Centre-Forward,right,Newcastle United,"Jul 1, 2009",Unknown,Stansted FC,,?,,,,,,"May 31, 2012Aug 13, 2011Jul 1, 2011",Bishop's St.Dag & Red FCStansted FC,Dag & Red FCBishop's St.Dag & Red FC,,End of loanLoan?,"Jan 2, 2013Jan 1, 2013Nov 20, 2012",Dag & Red FCPeterboroughDag & Red FC,PeterboroughDag & Red FCPeterborough,,614 K €End of loanLoan,,,,,,,,,,,Premier League,,,,,,,,,,,,,,,,"Jul 1, 2016",Crystal Palace,Newcastle,,"12,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 3, 2013",Peterborough,Crystal Palace,,"5,30 mil. €",,,,,,,"May 31, 2019Aug 6, 2018",West BromNewcastle,NewcastleWest Brom,End of loanLoan,"Jul 1, 2002",Arsenal FC Yout,Unknown,,Free transfer,,,,,,,,,,,,,,,,,,,,
Yoshinori Muto,27,178.0,Forward - Centre-Forward,right,Newcastle United,,,,,,"Jul 1, 2010",FC Tokyo Youth,Keio Uni,0,Free transfer,"Jun 26, 2012",Keio Uni,FC Tokyo,0,Loan,"Dec 31, 2012",FC Tokyo,Keio Uni,0,End of loan,"Jul 1, 2015",FC Tokyo,1.FSV Mainz 05,"2,50 mil. €","2,80 mil. €",,,,,,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jan 1, 2014Dec 31, 2013Jul 3, 2013",Keio UniFC TokyoKeio Uni,FC TokyoKeio UniFC Tokyo,0,Free transferEnd of loanLoan,,,,,,"6,00 mil. €","Aug 2, 2018",1.FSV Mainz 05,Newcastle,"10,70 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,
Andy Carroll,30,193.0,Forward - Centre-Forward,left,Newcastle United,,,,,,"Jan 31, 2011",Newcastle,Liverpool,"2,50 mil. €","41,00 mil. €",,,,,,"May 31, 2013Aug 30, 2012",West HamLiverpool,LiverpoolWest Ham,"11,00 mil. €15,50 mil. €","End of loanLoan fee:1,25 mil. €",,,,,,,,,,,Premier League,,,,,,"Jul 1, 2006",Newcastle U18,Newcastle,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Jan 2, 2008Aug 1, 2007",Preston NENewcastle,NewcastlePreston NE,300 K €300 K €,End of loanLoan,,,,,,"Jul 1, 2013",Liverpool,West Ham,"11,00 mil. €","17,50 mil. €","Aug 8, 2019",West Ham,Newcastle,"8,00 mil. €",Free transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus Gunn,23,196.0,Goalkeeper,right,Southampton FC,,,,,,,,,,,"Jul 1, 2011",Norwich Yth.,Man City Youth,0,300 K €,"Jul 1, 2012",Man City Youth,Man City U18,0,0,,,,,,"May 31, 2018Jul 1, 2017",NorwichMan City,Man CityNorwich,"2,00 mil. €250 K €",End of loanLoan,Premier League,,,,,,,,,,,"Jul 1, 2014",Man City U18,Man City U21,0,0,"Jul 1, 2016",Man City U23,Man City,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,00 mil. €","Jul 10, 2018",Man City,Southampton,"11,30 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,
Alex McCarthy,29,193.0,Goalkeeper,right,Southampton FC,"Jun 1, 2010Jul 24, 2009",Yeovil TownReading,ReadingYeovil Town,175 K €50 K €,,"Sep 12, 2010Aug 12, 2010",BrentfordReading,ReadingBrentford,175 K €175 K €,,"Mar 28, 2012Jan 9, 2012Jan 5, 2012Nov 4, 2011",IpswichReadingLeedsReading,ReadingIpswichReadingLeeds,250 K €175 K €175 K €175 K €,,,,,,,"Jul 23, 2015",QPR,Crystal Palace,"2,50 mil. €",,,,,,,Premier League,,,,,,,,,,,"Aug 29, 2014",Reading,QPR,"2,00 mil. €",,"Aug 1, 2016",Crystal Palace,Southampton,"3,00 mil. €",,,,,,,,,,,,,,,,,"Apr 29, 2008Mar 29, 2008Aug 31, 2007Aug 26, 2007Jul 1, 2007",Cambridge Utd.ReadingWoking FCReadingReading U18,ReadingCambridge Utd.ReadingWoking FCReading,0,,"Mar 4, 2009Feb 2, 2009",Aldershot TownReading,ReadingAldershot Town,50 K €50 K €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jannik Vestergaard,27,199.0,Defender - Centre-Back,both,Southampton FC,"Jul 1, 2009",Bröndby IF U17,Bröndby IF U19,0,0,"Jul 2, 2010",Bröndby IF U19,Hoffenheim II,0,Free transfer,"Jul 1, 2011",Hoffenheim II,TSG Hoffenheim,250 K €,0,,,,,,,,,,,,,,,,Premier League,,,,,,,,,,,"Jan 27, 2015",TSG Hoffenheim,Werder Bremen,"3,00 mil. €","4,50 mil. €","Jul 1, 2016",Werder Bremen,Bor. M'gladbach,"7,00 mil. €","12,50 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,00 mil. €","Jul 13, 2018",Bor. M'gladbach,Southampton,"25,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,
Jan Bednarek,23,189.0,Defender - Centre-Back,right,Southampton FC,,,,,,,,,,,,,,,,"Jul 1, 2012",MSP Szamotuly,Lech Poznan II,0,?,"Jun 30, 2016Jul 13, 2015",Gornik LecznaLech Poznan,Lech PoznanGornik Leczna,150 K €150 K €,End of loanLoan fee:10 K €,"Jul 1, 2017",Lech Poznan,Southampton,500 K €,"6,00 mil. €",Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sep 1, 2013",Lech Poznan II,Lech Poznan,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Stephens,25,185.0,Defender - Centre-Back,right,Southampton FC,,,,,,"Apr 5, 2011Jul 1, 2010",PlymouthPlymouth U18,Southampton U21Plymouth,,,,,,,,,,,,,"May 31, 2016Feb 1, 2016Jan 4, 2016Jul 31, 2015",CoventrySouthamptonMiddlesbroughSouthampton,SouthamptonCoventrySouthamptonMiddlesbrough,,,,,,,,Premier League,,,,,,,,,,,"May 31, 2015Sep 1, 2014",Swindon TownSouthampton,SouthamptonSwindon Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May 3, 2014Mar 13, 2014Jul 1, 2013",Swindon TownSouthamptonSouthampton U21,SouthamptonSwindon TownSouthampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Danso,21,190.0,Defender - Centre-Back,right,Southampton FC,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2015",FC Augsburg U17,FC Augsburg U19,0,0,,,,,,Premier League,,,,,,,,,,,,,,,,"Mar 9, 2017",FC Augsburg U19,FC Augsburg,100 K €,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Jan 1, 2014",MK Dons U18,FC Augsburg U17,0,Free transfer,"Aug 8, 2019",FC Augsburg,Southampton,"8,00 mil. €","Loan fee:4,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maya Yoshida,31,189.0,Defender - Centre-Back,right,Southampton FC,"Jan 1, 2010",Nagoya Grampus,VVV-Venlo,"1,40 mil. €",?,,,,,,,,,,,"Aug 30, 2012",VVV-Venlo,Southampton,"1,25 mil. €","2,80 mil. €",,,,,,,,,,,Premier League,,,,,,"Jan 1, 2007",Nagoya Grampus,Nagoya Grampus,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Bertrand,30,179.0,Defender - Left-Back,left,Southampton FC,"Jun 1, 2010Jul 17, 2009",ReadingChelsea,ChelseaReading,,,"Dec 31, 2010Aug 5, 2010",Nottm ForestChelsea,ChelseaNottm Forest,,,,,,,,,,,,,,,,,,,,,,,Premier League,,,,,,"Feb 19, 2007Nov 3, 2006Jul 1, 2006",BournemouthChelseaChelsea U18,ChelseaBournemouthChelsea,,,"Feb 2, 2015Feb 1, 2015Jul 30, 2014",ChelseaSouthamptonChelsea,SouthamptonChelseaSouthampton,,,,,,,,,,,,,,,,,,"Jul 1, 2005",Gillingham U18,Chelsea U18,,,"Jan 4, 2008Dec 31, 2007Aug 21, 2007",ChelseaOldham AthleticChelsea,NorwichChelseaOldham Athletic,,,"May 25, 2009",Norwich,Chelsea,,,"May 31, 2014Jan 17, 2014",Aston VillaChelsea,ChelseaAston Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam McQueen,24,181.0,Defender - Left-Back,left,Southampton FC,,,,,,,,,,,"Jul 1, 2011",Southampton Yth,Southampton U18,0,0,"Jul 1, 2012",Southampton U18,Southampton U21,0,0,"May 31, 2016Jan 21, 2016",Southend UnitedSouthampton U21,Southampton U21Southend United,0,End of loanLoan,,,,,,Premier League,,,,,,,,,,,,,,,,"Jul 1, 2016",Southampton U23,Southampton,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00 mil. €1,00 mil. €","May 31, 2019Aug 30, 2018",MiddlesbroughSouthampton,SouthamptonMiddlesbrough,End of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,
Cédric Soares,28,171.0,Defender - Right-Back,right,Southampton FC,,,,,,"Aug 1, 2010",Sporting U19,Sporting CP,0,0,"Jun 30, 2012Jul 1, 2011",CoimbraSporting CP,Sporting CPCoimbra,"1,70 mil. €1,10 mil. €",End of loanLoan,,,,,,"Jul 1, 2015",Sporting CP,Southampton,"9,50 mil. €","7,00 mil. €",,,,,,Premier League,,,,,,"Jul 1, 2006",Sporting Sub-15,Sporting Sub17,0,0,,,,,,,,,,,,,,,,"Jul 1, 2004",Sporting CJ,Sporting Sub-15,0,0,,,,,,,,,,,"Jul 1, 2008",Sporting Sub17,Sporting U19,0,0,,,,,,,,,,,"12,00 mil. €15,00 mil. €","Jun 30, 2019Jan 26, 2019",InterSouthampton,SouthamptonInter,End of loanLoan fee:500 K €,,,,,,,,,,,,,,,,,,,,,,,,,
Yan Valery,20,180.0,Defender - Right-Back,right,Southampton FC,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,Premier League,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriol Romeu,28,183.0,Midfielder - Defensive Midfield,right,Southampton FC,"Jul 1, 2009",Barça U19,FC Barcelona B,0,0,,,,,,"Aug 4, 2011",FC Barcelona B,Chelsea,"2,50 mil. €","4,60 mil. €",,,,,,"Aug 12, 2015",Chelsea,Southampton,"2,50 mil. €","7,00 mil. €",,,,,,Premier League,,,,,,"Jul 1, 2006",Barcelona Yth.,Barça U17,0,0,"Jun 30, 2015Aug 4, 2014",VfB StuttgartChelsea,ChelseaVfB Stuttgart,"3,50 mil. €7,00 mil. €",End of loanLoan fee:250 K €,,,,,,,,,,,"Jul 1, 2004",Espanyol Youth,Barcelona Yth.,0,?,,,,,,"Jul 1, 2007",Barça U17,Barça U18,0,0,"Jul 1, 2008",Barça U18,Barça U19,0,0,"Jun 30, 2014Jul 12, 2013",ValenciaChelsea,ChelseaValencia,"7,00 mil. €7,50 mil. €","End of loanLoan fee:1,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
