,name,age,height,position,current club,19/20 games,19/20 goals,19/20 assists,19/20 minutes
128,Yerry Mina,24,195.0,W,Everton FC,4.0,0.0,0.0,360.0
129,Mason Holgate,22,187.0,W,Everton FC,3.0,0.0,0.0,124.0
130,Lucas Digne,26,178.0,W,Everton FC,5.0,1.0,4.0,416.0
131,Leighton Baines,34,170.0,W,Everton FC,0.0,0.0,0.0,0.0
132,Djibril Sidibé,27,182.0,W,Everton FC,1.0,0.0,0.0,90.0
133,Seamus Coleman,30,177.0,W,Everton FC,4.0,0.0,0.0,360.0
134,Cuco Martina,29,185.0,W,Everton FC,1.0,0.0,0.0,90.0
135,Jean-Philippe Gbamin,23,186.0,W,Everton FC,2.0,0.0,0.0,135.0
136,Morgan Schneiderlin,29,186.0,W,Everton FC,3.0,0.0,1.0,256.0
137,André Gomes,26,188.0,W,Everton FC,4.0,0.0,0.0,315.0
138,Fabian Delph,29,174.0,W,Everton FC,2.0,0.0,0.0,164.0
139,Tom Davies,21,180.0,W,Everton FC,1.0,0.0,0.0,11.0
140,Beni Baningime,20,,W,Everton FC,3.0,0.0,0.0,270.0
141,Gylfi Sigurdsson,29,186.0,W,Everton FC,5.0,1.0,1.0,411.0
142,Richarlison,22,179.0,W,Everton FC,5.0,3.0,0.0,384.0
143,Alex Iwobi,23,183.0,W,Everton FC,3.0,2.0,0.0,186.0
144,Bernard,26,164.0,W,Everton FC,4.0,2.0,0.0,256.0
145,Theo Walcott,30,175.0,W,Everton FC,4.0,0.0,0.0,74.0
146,Moise Kean,19,183.0,CF,Everton FC,6.0,0.0,1.0,235.0
147,Dominic Calvert-Lewin,22,187.0,CF,Everton FC,5.0,0.0,0.0,243.0
148,Cenk Tosun,28,183.0,CF,Everton FC,1.0,0.0,1.0,16.0
149,Oumar Niasse,29,182.0,CF,Everton FC,,,,
150,Caglar Söyüncü,23,187.0,W,Leicester City,5.0,0.0,1.0,450.0
151,Filip Benkovic,22,194.0,W,Leicester City,2.0,0.0,0.0,135.0
152,Jonny Evans,31,188.0,W,Leicester City,5.0,0.0,0.0,393.0
153,Wes Morgan,35,186.0,W,Leicester City,2.0,0.0,0.0,69.0
154,Ben Chilwell,22,178.0,W,Leicester City,2.0,0.0,1.0,180.0
155,Christian Fuchs,33,187.0,W,Leicester City,4.0,0.0,0.0,274.0
156,Ricardo Pereira,25,175.0,W,Leicester City,5.0,0.0,0.0,450.0
157,James Justin,21,183.0,W,Leicester City,0.0,0.0,0.0,0.0
158,Wilfred Ndidi,22,183.0,W,Leicester City,3.0,1.0,0.0,270.0
159,Nampalys Mendy,27,167.0,W,Leicester City,1.0,0.0,0.0,1.0
160,Daniel Amartey,24,186.0,W,Leicester City,,,,
161,Hamza Choudhury,21,178.0,W,Leicester City,5.0,0.0,0.0,288.0
162,Youri Tielemans,22,176.0,W,Leicester City,5.0,1.0,1.0,449.0
163,Dennis Praet,25,181.0,W,Leicester City,3.0,0.0,0.0,126.0
164,Matty James,28,181.0,W,Leicester City,,,,
165,Marc Albrighton,29,175.0,W,Leicester City,3.0,0.0,0.0,88.0
166,James Maddison,22,175.0,W,Leicester City,5.0,1.0,2.0,446.0
167,Harvey Barnes,21,180.0,W,Leicester City,4.0,1.0,0.0,215.0
168,Bartosz Kapustka,22,179.0,W,Leicester City,,,,
169,Demarai Gray,23,180.0,W,Leicester City,1.0,0.0,0.0,26.0
170,Fousseni Diabaté,23,175.0,W,Leicester City,,,,
171,George Thomas,22,173.0,W,Leicester City,4.0,0.0,0.0,360.0
172,Ayoze Pérez,26,178.0,W,Leicester City,4.0,0.0,0.0,324.0
173,Jamie Vardy,32,179.0,CF,Leicester City,5.0,3.0,1.0,450.0
174,Kelechi Iheanacho,22,185.0,CF,Leicester City,0.0,0.0,0.0,0.0
175,Issa Diop,22,194.0,W,West Ham United,5.0,0.0,0.0,450.0
176,Fabián Balbuena,28,188.0,W,West Ham United,2.0,0.0,0.0,180.0
177,Angelo Ogbonna,31,191.0,W,West Ham United,3.0,0.0,0.0,270.0
178,Winston Reid,31,191.0,W,West Ham United,,,,
179,Gonçalo Cardoso,18,189.0,W,West Ham United,2.0,0.0,0.0,180.0
180,Aaron Cresswell,29,170.0,W,West Ham United,2.0,0.0,0.0,180.0
181,Arthur Masuaku,25,179.0,W,West Ham United,3.0,0.0,1.0,270.0
182,Ryan Fredericks,26,181.0,W,West Ham United,4.0,0.0,0.0,360.0
183,Pablo Zabaleta,34,176.0,W,West Ham United,1.0,0.0,0.0,90.0
184,Declan Rice,20,185.0,W,West Ham United,4.0,0.0,0.0,360.0
185,Carlos Sánchez,33,182.0,W,West Ham United,4.0,0.0,0.0,104.0
186,Jack Wilshere,27,172.0,W,West Ham United,3.0,1.0,0.0,183.0
187,Mark Noble,32,180.0,W,West Ham United,2.0,1.0,0.0,175.0
188,Pablo Fornals,23,178.0,W,West Ham United,5.0,1.0,0.0,225.0
189,Manuel Lanzini,26,167.0,W,West Ham United,4.0,0.0,2.0,358.0
190,Felipe Anderson,26,175.0,W,West Ham United,4.0,0.0,2.0,314.0
191,Andrii Yarmolenko,29,190.0,W,West Ham United,3.0,1.0,0.0,139.0
192,Michail Antonio,29,180.0,W,West Ham United,4.0,0.0,0.0,132.0
193,Robert Snodgrass,31,182.0,W,West Ham United,4.0,0.0,0.0,233.0
194,Sébastien Haller,25,190.0,CF,West Ham United,3.0,3.0,0.0,270.0
195,Albian Ajeti,22,183.0,CF,West Ham United,4.0,2.0,2.0,359.0
196,Nathan Aké,24,180.0,W,AFC Bournemouth,4.0,0.0,0.0,360.0
197,Chris Mepham,21,191.0,W,AFC Bournemouth,4.0,1.0,0.0,360.0
198,Steve Cook,28,185.0,W,AFC Bournemouth,4.0,0.0,0.0,360.0
199,Jack Simpson,22,,W,AFC Bournemouth,1.0,0.0,0.0,90.0
200,Diego Rico,26,183.0,W,AFC Bournemouth,2.0,0.0,0.0,180.0
201,Lloyd Kelly,20,190.0,W,AFC Bournemouth,,,,
202,Charlie Daniels,32,178.0,W,AFC Bournemouth,2.0,0.0,0.0,127.0
203,Adam Smith,28,174.0,W,AFC Bournemouth,4.0,0.0,0.0,313.0
204,Jack Stacey,23,180.0,W,AFC Bournemouth,1.0,0.0,0.0,90.0
205,Simon Francis,34,191.0,W,AFC Bournemouth,,,,
206,Jefferson Lerma,24,179.0,W,AFC Bournemouth,4.0,0.0,0.0,360.0
207,Lewis Cook,22,175.0,W,AFC Bournemouth,,,,
208,Philip Billing,23,192.0,W,AFC Bournemouth,5.0,0.0,0.0,321.0
209,Dan Gosling,29,180.0,W,AFC Bournemouth,,,,
210,Andrew Surman,33,178.0,W,AFC Bournemouth,3.0,0.0,0.0,145.0
211,David Brooks,22,173.0,W,AFC Bournemouth,,,,
212,Ryan Fraser,25,163.0,W,AFC Bournemouth,5.0,0.0,1.0,389.0
213,Arnaut Danjuma,22,178.0,W,AFC Bournemouth,1.0,0.0,0.0,87.0
214,Junior Stanislas,29,183.0,W,AFC Bournemouth,,,,
215,Harry Wilson,22,173.0,W,AFC Bournemouth,4.0,2.0,0.0,253.0
216,Jordon Ibe,23,176.0,W,AFC Bournemouth,3.0,0.0,0.0,137.0
217,Joshua King,27,181.0,W,AFC Bournemouth,5.0,1.0,0.0,379.0
218,Callum Wilson,27,180.0,CF,AFC Bournemouth,5.0,1.0,1.0,400.0
219,Dominic Solanke,21,186.0,CF,AFC Bournemouth,5.0,0.0,0.0,151.0
220,Willy Boly,28,195.0,W,Wolverhampton Wanderers,9.0,0.0,1.0,810.0
221,Jesús Vallejo,22,184.0,W,Wolverhampton Wanderers,3.0,0.0,0.0,270.0
222,Conor Coady,26,185.0,W,Wolverhampton Wanderers,10.0,0.0,0.0,900.0
223,Ryan Bennett,29,188.0,W,Wolverhampton Wanderers,7.0,1.0,0.0,630.0
224,Max Kilman,22,192.0,W,Wolverhampton Wanderers,2.0,0.0,0.0,180.0
225,Jonny Otto,25,175.0,W,Wolverhampton Wanderers,8.0,0.0,0.0,567.0
226,Rúben Vinagre,20,174.0,W,Wolverhampton Wanderers,6.0,2.0,0.0,408.0
227,Sylvain Deslandes,22,190.0,W,Wolverhampton Wanderers,,,,
228,Matt Doherty,27,186.0,W,Wolverhampton Wanderers,4.0,1.0,0.0,274.0
229,Phil Ofosu-Ayeh,27,181.0,W,Wolverhampton Wanderers,,,,
230,Rúben Neves,22,180.0,W,Wolverhampton Wanderers,8.0,2.0,0.0,490.0
231,Leander Dendoncker,24,188.0,W,Wolverhampton Wanderers,10.0,1.0,0.0,789.0
232,Romain Saïss,29,188.0,W,Wolverhampton Wanderers,8.0,1.0,0.0,456.0
233,João Moutinho,32,170.0,W,Wolverhampton Wanderers,10.0,0.0,5.0,772.0
234,Morgan Gibbs-White,19,171.0,W,Wolverhampton Wanderers,4.0,1.0,0.0,275.0
235,Bruno Jordão,20,180.0,W,Wolverhampton Wanderers,3.0,0.0,0.0,207.0
236,Ming-Yang Yang,24,172.0,W,Wolverhampton Wanderers,,,,
237,Diogo Jota,22,178.0,W,Wolverhampton Wanderers,10.0,3.0,5.0,663.0
238,Jordan Graham,24,182.0,W,Wolverhampton Wanderers,,,,
239,Adama Traoré,23,178.0,W,Wolverhampton Wanderers,8.0,0.0,3.0,572.0
240,Pedro Neto,19,172.0,W,Wolverhampton Wanderers,6.0,1.0,1.0,126.0
241,RaÃºl JimÃ©nez,28,188.0,CF,Wolverhampton Wanderers,10.0,8.0,1.0,703.0
242,Patrick Cutrone,21,183.0,CF,Wolverhampton Wanderers,7.0,0.0,3.0,204.0
243,Jamaal Lascelles,25,188.0,W,Newcastle United,4.0,0.0,0.0,352.0
244,Fabian Schär,27,186.0,W,Newcastle United,5.0,1.0,0.0,445.0
245,Florian Lejeune,28,190.0,W,Newcastle United,,,,
246,Federico Fernández,30,190.0,W,Newcastle United,3.0,0.0,0.0,103.0
247,Ciaran Clark,29,188.0,W,Newcastle United,1.0,0.0,0.0,90.0
248,Paul Dummett,27,183.0,W,Newcastle United,5.0,0.0,0.0,372.0
249,Jetro Willems,25,169.0,W,Newcastle United,3.0,0.0,1.0,204.0
250,DeAndre Yedlin,26,173.0,W,Newcastle United,,,,
251,Javier Manquillo,25,178.0,W,Newcastle United,3.0,0.0,0.0,142.0
252,Emil Krafth,25,184.0,W,Newcastle United,4.0,0.0,0.0,308.0
253,Jamie Sterry,23,180.0,W,Newcastle United,3.0,1.0,0.0,270.0
254,Isaac Hayden,24,186.0,W,Newcastle United,5.0,0.0,1.0,450.0
255,Sung-yong Ki,30,190.0,W,Newcastle United,1.0,0.0,0.0,74.0
256,Jack Colback,29,177.0,W,Newcastle United,,,,
257,Jonjo Shelvey,27,184.0,W,Newcastle United,3.0,1.0,0.0,234.0
258,Sean Longstaff,21,181.0,W,Newcastle United,4.0,0.0,1.0,263.0
259,Matt Ritchie,29,173.0,W,Newcastle United,4.0,0.0,0.0,315.0
260,Miguel Almirón,25,174.0,W,Newcastle United,4.0,0.0,0.0,360.0
261,Henri Saivet,28,175.0,W,Newcastle United,,,,
262,Christian Atsu,27,165.0,W,Newcastle United,3.0,0.0,1.0,200.0
263,Allan Saint-Maximin,22,173.0,W,Newcastle United,2.0,0.0,0.0,40.0
264,Joelinton,23,186.0,CF,Newcastle United,4.0,1.0,0.0,335.0
265,Dwight Gayle,28,177.0,CF,Newcastle United,,,,
266,Yoshinori Muto,27,178.0,CF,Newcastle United,4.0,1.0,0.0,123.0
267,Andy Carroll,30,193.0,CF,Newcastle United,,,,
268,Christian Kabasele,28,187.0,W,Watford FC,2.0,0.0,1.0,180.0
269,Craig Dawson,29,188.0,W,Watford FC,4.0,0.0,0.0,360.0
270,Craig Cathcart,30,189.0,W,Watford FC,4.0,0.0,0.0,360.0
271,Sebastian Prödl,32,194.0,W,Watford FC,0.0,0.0,0.0,0.0
272,Adrian Mariappa,32,179.0,W,Watford FC,1.0,0.0,0.0,90.0
273,Adam Masina,25,191.0,W,Watford FC,0.0,0.0,0.0,0.0
274,Marvin Zeegelaar,29,186.0,W,Watford FC,,,,
275,José Holebas,35,184.0,W,Watford FC,3.0,0.0,0.0,270.0
276,Daryl Janmaat,30,185.0,W,Watford FC,2.0,1.0,0.0,180.0
277,Kiko Femenía,28,171.0,W,Watford FC,4.0,0.0,0.0,360.0
278,Dimitri Foulquier,26,183.0,W,Watford FC,1.0,0.0,0.0,90.0
279,Étienne Capoue,31,189.0,W,Watford FC,3.0,0.0,0.0,263.0
280,Nathaniel Chalobah,24,185.0,W,Watford FC,2.0,0.0,0.0,109.0
281,Abdoulaye Doucouré,26,183.0,W,Watford FC,4.0,0.0,0.0,341.0
282,Will Hughes,24,185.0,W,Watford FC,4.0,1.0,1.0,302.0
283,Tom Cleverley,30,175.0,W,Watford FC,3.0,0.0,0.0,187.0
284,Domingos Quina,19,173.0,W,Watford FC,2.0,0.0,0.0,94.0
285,Tom Dele-Bashiru,19,179.0,W,Watford FC,1.0,0.0,0.0,18.0
286,Roberto Pereyra,28,182.0,W,Watford FC,4.0,0.0,0.0,288.0
287,Isaac Success,23,182.0,W,Watford FC,3.0,0.0,2.0,124.0
288,Ismaïla Sarr,21,185.0,W,Watford FC,2.0,1.0,0.0,88.0
289,Gerard Deulofeu,25,177.0,W,Watford FC,4.0,0.0,0.0,206.0
290,Andre Gray,28,178.0,CF,Watford FC,4.0,1.0,0.0,254.0
291,Danny Welbeck,28,185.0,CF,Watford FC,3.0,0.0,0.0,129.0
292,Troy Deeney,31,184.0,CF,Watford FC,2.0,0.0,0.0,180.0
293,Filip Stuparevic,19,184.0,CF,Watford FC,,,,
294,Jannik Vestergaard,27,199.0,W,Southampton FC,4.0,1.0,0.0,360.0
295,Jan Bednarek,23,189.0,W,Southampton FC,5.0,0.0,0.0,420.0
296,Jack Stephens,25,185.0,W,Southampton FC,1.0,0.0,0.0,73.0
297,Kevin Danso,20,190.0,W,Southampton FC,3.0,0.0,1.0,253.0
298,Maya Yoshida,31,189.0,W,Southampton FC,3.0,0.0,0.0,133.0
299,Ryan Bertrand,30,179.0,W,Southampton FC,2.0,0.0,0.0,167.0
300,Sam McQueen,24,181.0,W,Southampton FC,,,,
301,Cédric Soares,28,171.0,W,Southampton FC,2.0,0.0,0.0,180.0
302,Yan Valery,20,180.0,W,Southampton FC,3.0,0.0,0.0,234.0
303,Oriol Romeu,27,183.0,W,Southampton FC,5.0,0.0,0.0,424.0
304,James Ward-Prowse,24,177.0,W,Southampton FC,5.0,0.0,0.0,450.0
305,Pierre-Emile Höjbjerg,24,185.0,W,Southampton FC,5.0,0.0,0.0,377.0
306,Stuart Armstrong,27,183.0,W,Southampton FC,3.0,0.0,0.0,47.0
307,Nathan Redmond,25,173.0,W,Southampton FC,4.0,1.0,1.0,346.0
308,Moussa Djenepo,21,177.0,W,Southampton FC,3.0,1.0,0.0,139.0
309,Sofiane Boufal,25,175.0,W,Southampton FC,4.0,0.0,1.0,188.0
310,Danny Ings,27,178.0,CF,Southampton FC,5.0,1.0,1.0,275.0
311,Shane Long,32,180.0,CF,Southampton FC,2.0,0.0,0.0,42.0
312,Che Adams,23,179.0,CF,Southampton FC,4.0,0.0,0.0,283.0
313,Michael Obafemi,19,170.0,CF,Southampton FC,2.0,1.0,0.0,92.0
314,Mamadou Sakho,29,187.0,W,Crystal Palace,1.0,0.0,0.0,10.0
