,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
394,1,1,30,100.0,100.0,1,171975,0,0,-2,2,9.6,1,3,2.5,3.5,3,Callum,4.0,4,1,14.2,453,False,39.8,355,,2019-09-07T11:00:18.474845Z,53,0,0,0,171975.jpg,3.2,0,0,Robinson,0.6,False,,a,15,49,94.0,19,38029,2821,55817,3296,0.8,3.6,Robinson,0
395,0,0,0,,,0,90518,0,0,-2,2,0.6,0,3,-1.3,-0.3,0,Ravel,0.2,0,0,0.2,456,False,0.0,12,,,48,0,0,0,90518.jpg,1.0,0,0,Morrison,0.1,False,,a,15,49,4.0,1,1305,67,7744,392,0.0,0.2,Morrison,0
396,0,2,109,,,2,172649,0,0,0,0,0.0,1,1,1.7,2.7,6,Dean,3.2,6,0,14.4,471,False,124.6,540,,,45,0,0,0,172649.jpg,4.0,0,18,Henderson,2.4,False,,a,15,49,18.0,24,90511,8751,44494,3759,0.7,5.3,Henderson,1
397,0,0,7,,,0,167878,0,0,-2,2,10.3,0,3,-1.0,0.0,1,Ben,0.5,0,0,1.9,472,False,6.2,13,,,48,0,0,0,167878.jpg,1.0,0,0,Osborn,0.0,False,,a,15,49,2.0,2,249,35,1582,81,0.1,0.4,Osborn,0
398,0,1,50,,,2,169432,0,0,-1,1,32.1,0,4,1.3,2.3,2,Oliver,2.8,3,1,14.0,501,False,59.4,306,,,59,0,0,0,169432.jpg,2.2,0,0,McBurnie,0.1,False,,a,15,49,48.0,13,6145,453,8529,770,0.5,2.2,McBurnie,1
399,0,0,0,,,0,194126,0,0,0,0,0.0,0,1,-1.5,-0.5,0,Michael,0.0,0,0,0.0,521,False,0.0,0,,,45,0,0,0,194126.jpg,0.0,0,0,Verrips,0.0,False,,a,15,49,0.0,0,230,31,781,72,0.0,0.0,Verrips,0
400,0,0,0,100.0,0.0,0,87447,0,0,0,0,0.0,0,3,-1.5,0.0,0,Muhamed,0.0,0,0,0.0,522,False,0.0,0,,2019-09-19T11:30:17.999997Z,45,0,0,0,87447.jpg,0.0,0,0,Bešić,0.2,False,,a,15,49,0.0,0,4817,159,9466,698,0.0,0.0,Bešić,0
401,0,6,123,,,2,93100,0,0,2,-2,39.7,2,2,6.0,6.5,1,Jannik,6.5,9,1,31.0,304,True,148.2,540,,,52,0,0,0,93100.jpg,4.7,0,0,Vestergaard,6.8,False,,a,16,20,122.0,28,464037,54520,69009,29404,1.2,5.4,Vestergaard,1
402,0,0,20,100.0,100.0,0,40146,0,0,-1,1,34.5,0,2,-0.3,0.2,1,Ryan,0.2,6,0,6.2,305,False,14.2,211,,2019-08-24T16:30:09.551450Z,49,0,0,0,40146.jpg,1.0,0,0,Bertrand,0.6,False,,a,16,20,13.0,3,6224,315,37349,1546,0.0,0.6,Bertrand,0
403,0,0,22,,,0,213482,-1,1,-2,2,32.4,0,2,-0.3,0.2,0,Yan,0.2,5,0,9.5,306,False,34.8,232,,,48,0,0,0,213482.jpg,1.0,0,0,Valery,0.3,False,,a,16,20,28.0,3,4199,87,14732,1409,0.0,0.6,Valery,0
